"","n_neighbors","n"
"1",5,5
"2",6,24
"3",7,88
"4",8,208
"5",9,454
"6",10,1134
"7",11,2160
"8",12,2630
"9",13,1940
"10",14,912
"11",15,331
"12",16,84
"13",17,28
"14",18,2
