"","n_neighbors","n"
"1",4,1
"2",5,9
"3",6,25
"4",7,77
"5",8,204
"6",9,440
"7",10,1110
"8",11,2145
"9",12,2728
"10",13,1948
"11",14,900
"12",15,310
"13",16,84
"14",17,18
"15",19,1
