"","n_neighbors","n"
"1",4,1
"2",5,6
"3",6,27
"4",7,72
"5",8,216
"6",9,484
"7",10,1133
"8",11,2079
"9",12,2699
"10",13,1912
"11",14,936
"12",15,317
"13",16,91
"14",17,24
"15",18,3
