"","n_neighbors","n"
"1",3,1
"2",4,3
"3",5,7
"4",6,22
"5",7,87
"6",8,195
"7",9,442
"8",10,1150
"9",11,2094
"10",12,2682
"11",13,2000
"12",14,925
"13",15,283
"14",16,93
"15",17,14
"16",18,2
