"","n_neighbors","n"
"1",5,4
"2",6,29
"3",7,87
"4",8,218
"5",9,452
"6",10,1132
"7",11,2094
"8",12,2668
"9",13,1947
"10",14,952
"11",15,315
"12",16,84
"13",17,14
"14",18,3
"15",19,1
