"","n_neighbors","n"
"1",3,1
"2",4,3
"3",5,8
"4",6,28
"5",7,82
"6",8,182
"7",9,478
"8",10,1104
"9",11,2140
"10",12,2683
"11",13,1958
"12",14,900
"13",15,338
"14",16,72
"15",17,18
"16",18,4
"17",19,1
