"","n_neighbors","n"
"1",4,1
"2",5,4
"3",6,21
"4",7,83
"5",8,194
"6",9,465
"7",10,1106
"8",11,2155
"9",12,2691
"10",13,1948
"11",14,940
"12",15,303
"13",16,68
"14",17,17
"15",18,3
"16",19,1
