"","n_neighbors","n"
"1",4,1
"2",5,2
"3",6,29
"4",7,93
"5",8,199
"6",9,433
"7",10,1211
"8",11,2085
"9",12,2661
"10",13,1922
"11",14,895
"12",15,345
"13",16,102
"14",17,20
"15",18,2
