"","n_neighbors","n"
"1",5,6
"2",6,30
"3",7,102
"4",8,186
"5",9,444
"6",10,1081
"7",11,2203
"8",12,2640
"9",13,1978
"10",14,917
"11",15,313
"12",16,78
"13",17,18
"14",18,4
