"","n_neighbors","n"
"1",5,5
"2",6,34
"3",7,88
"4",8,191
"5",9,479
"6",10,1135
"7",11,2106
"8",12,2631
"9",13,1957
"10",14,947
"11",15,329
"12",16,76
"13",17,16
"14",18,4
"15",19,2
