"","n_neighbors","n"
"1",4,1
"2",5,5
"3",6,38
"4",7,86
"5",8,202
"6",9,464
"7",10,1103
"8",11,2104
"9",12,2716
"10",13,1924
"11",14,918
"12",15,330
"13",16,87
"14",17,15
"15",18,7
