"","n_neighbors","n"
"1",5,11
"2",6,30
"3",7,90
"4",8,206
"5",9,443
"6",10,1101
"7",11,2210
"8",12,2568
"9",13,1984
"10",14,919
"11",15,325
"12",16,88
"13",17,23
"14",18,2
