"","n_neighbors","n"
"1",4,1
"2",5,6
"3",6,38
"4",7,85
"5",8,187
"6",9,461
"7",10,1137
"8",11,2134
"9",12,2654
"10",13,1946
"11",14,923
"12",15,299
"13",16,98
"14",17,23
"15",18,6
"16",19,2
