"","n_neighbors","n"
"1",4,1
"2",5,7
"3",6,21
"4",7,88
"5",8,227
"6",9,426
"7",10,1122
"8",11,2124
"9",12,2724
"10",13,1906
"11",14,928
"12",15,315
"13",16,87
"14",17,19
"15",18,4
"16",19,1
