"","n_neighbors","n"
"1",4,4
"2",5,5
"3",6,19
"4",7,72
"5",8,229
"6",9,464
"7",10,1077
"8",11,2231
"9",12,2603
"10",13,1917
"11",14,958
"12",15,305
"13",16,94
"14",17,18
"15",18,4
