"","network","round","adopters","high_status","high_degree","tau_type"
"118",2,18,9999,TRUE,FALSE,"random_tau"
"119",2,19,9999,TRUE,FALSE,"random_tau"
"120",2,20,9999,TRUE,FALSE,"random_tau"
"121",2,21,9999,TRUE,FALSE,"random_tau"
"122",2,22,9999,TRUE,FALSE,"random_tau"
"123",2,23,9999,TRUE,FALSE,"random_tau"
"124",2,24,9999,TRUE,FALSE,"random_tau"
"125",2,25,9999,TRUE,FALSE,"random_tau"
"126",2,26,9999,TRUE,FALSE,"random_tau"
"127",2,27,9999,TRUE,FALSE,"random_tau"
"128",2,28,9999,TRUE,FALSE,"random_tau"
"129",2,29,9999,TRUE,FALSE,"random_tau"
"130",2,30,9999,TRUE,FALSE,"random_tau"
"131",2,31,9999,TRUE,FALSE,"random_tau"
"132",2,32,9999,TRUE,FALSE,"random_tau"
"133",2,33,9999,TRUE,FALSE,"random_tau"
"134",2,34,9999,TRUE,FALSE,"random_tau"
"135",2,35,9999,TRUE,FALSE,"random_tau"
"136",2,36,9999,TRUE,FALSE,"random_tau"
"137",2,37,9999,TRUE,FALSE,"random_tau"
"138",2,38,9999,TRUE,FALSE,"random_tau"
"139",2,39,9999,TRUE,FALSE,"random_tau"
"140",2,40,9999,TRUE,FALSE,"random_tau"
"141",2,41,9999,TRUE,FALSE,"random_tau"
"142",2,42,9999,TRUE,FALSE,"random_tau"
"143",2,43,9999,TRUE,FALSE,"random_tau"
"144",2,44,9999,TRUE,FALSE,"random_tau"
"145",2,45,9999,TRUE,FALSE,"random_tau"
"146",2,46,9999,TRUE,FALSE,"random_tau"
"147",2,47,9999,TRUE,FALSE,"random_tau"
"148",2,48,9999,TRUE,FALSE,"random_tau"
"149",2,49,9999,TRUE,FALSE,"random_tau"
"150",2,50,9999,TRUE,FALSE,"random_tau"
"151",2,51,9999,TRUE,FALSE,"random_tau"
"152",2,52,9999,TRUE,FALSE,"random_tau"
"153",2,53,9999,TRUE,FALSE,"random_tau"
"154",2,54,9999,TRUE,FALSE,"random_tau"
"155",2,55,9999,TRUE,FALSE,"random_tau"
"156",2,56,9999,TRUE,FALSE,"random_tau"
"157",2,57,9999,TRUE,FALSE,"random_tau"
"158",2,58,9999,TRUE,FALSE,"random_tau"
"159",2,59,9999,TRUE,FALSE,"random_tau"
"160",2,60,9999,TRUE,FALSE,"random_tau"
"161",2,61,9999,TRUE,FALSE,"random_tau"
"162",2,62,9999,TRUE,FALSE,"random_tau"
"163",2,63,9999,TRUE,FALSE,"random_tau"
"164",2,64,9999,TRUE,FALSE,"random_tau"
"165",2,65,9999,TRUE,FALSE,"random_tau"
"166",2,66,9999,TRUE,FALSE,"random_tau"
"167",2,67,9999,TRUE,FALSE,"random_tau"
"168",2,68,9999,TRUE,FALSE,"random_tau"
"169",2,69,9999,TRUE,FALSE,"random_tau"
"170",2,70,9999,TRUE,FALSE,"random_tau"
"171",2,71,9999,TRUE,FALSE,"random_tau"
"172",2,72,9999,TRUE,FALSE,"random_tau"
"173",2,73,9999,TRUE,FALSE,"random_tau"
"174",2,74,9999,TRUE,FALSE,"random_tau"
"175",2,75,9999,TRUE,FALSE,"random_tau"
"176",2,76,9999,TRUE,FALSE,"random_tau"
"177",2,77,9999,TRUE,FALSE,"random_tau"
"178",2,78,9999,TRUE,FALSE,"random_tau"
"179",2,79,9999,TRUE,FALSE,"random_tau"
"180",2,80,9999,TRUE,FALSE,"random_tau"
"181",2,81,9999,TRUE,FALSE,"random_tau"
"182",2,82,9999,TRUE,FALSE,"random_tau"
"183",2,83,9999,TRUE,FALSE,"random_tau"
"184",2,84,9999,TRUE,FALSE,"random_tau"
"185",2,85,9999,TRUE,FALSE,"random_tau"
"186",2,86,9999,TRUE,FALSE,"random_tau"
"187",2,87,9999,TRUE,FALSE,"random_tau"
"188",2,88,9999,TRUE,FALSE,"random_tau"
"189",2,89,9999,TRUE,FALSE,"random_tau"
"190",2,90,9999,TRUE,FALSE,"random_tau"
"191",2,91,9999,TRUE,FALSE,"random_tau"
"192",2,92,9999,TRUE,FALSE,"random_tau"
"193",2,93,9999,TRUE,FALSE,"random_tau"
"194",2,94,9999,TRUE,FALSE,"random_tau"
"195",2,95,9999,TRUE,FALSE,"random_tau"
"196",2,96,9999,TRUE,FALSE,"random_tau"
"197",2,97,9999,TRUE,FALSE,"random_tau"
"198",2,98,9999,TRUE,FALSE,"random_tau"
"199",2,99,9999,TRUE,FALSE,"random_tau"
"200",2,100,9999,TRUE,FALSE,"random_tau"
"201",3,1,1739,TRUE,FALSE,"random_tau"
"202",3,2,2889,TRUE,FALSE,"random_tau"
"203",3,3,4183,TRUE,FALSE,"random_tau"
"204",3,4,5764,TRUE,FALSE,"random_tau"
"205",3,5,7437,TRUE,FALSE,"random_tau"
"206",3,6,8834,TRUE,FALSE,"random_tau"
"207",3,7,9664,TRUE,FALSE,"random_tau"
"208",3,8,9953,TRUE,FALSE,"random_tau"
"209",3,9,9997,TRUE,FALSE,"random_tau"
"210",3,10,10000,TRUE,FALSE,"random_tau"
"211",3,11,10000,TRUE,FALSE,"random_tau"
"212",3,12,10000,TRUE,FALSE,"random_tau"
"213",3,13,10000,TRUE,FALSE,"random_tau"
"214",3,14,10000,TRUE,FALSE,"random_tau"
"215",3,15,10000,TRUE,FALSE,"random_tau"
"216",3,16,10000,TRUE,FALSE,"random_tau"
"217",3,17,10000,TRUE,FALSE,"random_tau"
"218",3,18,10000,TRUE,FALSE,"random_tau"
"219",3,19,10000,TRUE,FALSE,"random_tau"
"220",3,20,10000,TRUE,FALSE,"random_tau"
"221",3,21,10000,TRUE,FALSE,"random_tau"
"222",3,22,10000,TRUE,FALSE,"random_tau"
"223",3,23,10000,TRUE,FALSE,"random_tau"
"224",3,24,10000,TRUE,FALSE,"random_tau"
"225",3,25,10000,TRUE,FALSE,"random_tau"
"226",3,26,10000,TRUE,FALSE,"random_tau"
"227",3,27,10000,TRUE,FALSE,"random_tau"
