"","n_neighbors","n"
"1",3,1
"2",5,2
"3",6,29
"4",7,86
"5",8,211
"6",9,462
"7",10,1131
"8",11,2130
"9",12,2645
"10",13,1910
"11",14,976
"12",15,306
"13",16,87
"14",17,19
"15",18,5
