"","n_neighbors","n"
"1",4,1
"2",5,7
"3",6,33
"4",7,90
"5",8,204
"6",9,498
"7",10,1094
"8",11,2038
"9",12,2738
"10",13,1913
"11",14,948
"12",15,328
"13",16,90
"14",17,16
"15",18,2
