"","n_neighbors","n"
"1",3,1
"2",4,1
"3",5,3
"4",6,25
"5",7,92
"6",8,203
"7",9,460
"8",10,1059
"9",11,2203
"10",12,2667
"11",13,1931
"12",14,937
"13",15,327
"14",16,78
"15",17,11
"16",18,2
