"","n_neighbors","n"
"1",4,1
"2",5,5
"3",6,28
"4",7,84
"5",8,209
"6",9,440
"7",10,1099
"8",11,2148
"9",12,2745
"10",13,1917
"11",14,903
"12",15,299
"13",16,98
"14",17,20
"15",18,3
"16",19,1
