"","network","round","adopters","high_status","high_degree","tau_type"
"171",2,71,10000,FALSE,FALSE,"random_tau"
"172",2,72,10000,FALSE,FALSE,"random_tau"
"173",2,73,10000,FALSE,FALSE,"random_tau"
"174",2,74,10000,FALSE,FALSE,"random_tau"
"175",2,75,10000,FALSE,FALSE,"random_tau"
"176",2,76,10000,FALSE,FALSE,"random_tau"
"177",2,77,10000,FALSE,FALSE,"random_tau"
"178",2,78,10000,FALSE,FALSE,"random_tau"
"179",2,79,10000,FALSE,FALSE,"random_tau"
"180",2,80,10000,FALSE,FALSE,"random_tau"
"181",2,81,10000,FALSE,FALSE,"random_tau"
"182",2,82,10000,FALSE,FALSE,"random_tau"
"183",2,83,10000,FALSE,FALSE,"random_tau"
"184",2,84,10000,FALSE,FALSE,"random_tau"
"185",2,85,10000,FALSE,FALSE,"random_tau"
"186",2,86,10000,FALSE,FALSE,"random_tau"
"187",2,87,10000,FALSE,FALSE,"random_tau"
"188",2,88,10000,FALSE,FALSE,"random_tau"
"189",2,89,10000,FALSE,FALSE,"random_tau"
"190",2,90,10000,FALSE,FALSE,"random_tau"
"191",2,91,10000,FALSE,FALSE,"random_tau"
"192",2,92,10000,FALSE,FALSE,"random_tau"
"193",2,93,10000,FALSE,FALSE,"random_tau"
"194",2,94,10000,FALSE,FALSE,"random_tau"
"195",2,95,10000,FALSE,FALSE,"random_tau"
"196",2,96,10000,FALSE,FALSE,"random_tau"
"197",2,97,10000,FALSE,FALSE,"random_tau"
"198",2,98,10000,FALSE,FALSE,"random_tau"
"199",2,99,10000,FALSE,FALSE,"random_tau"
"200",2,100,10000,FALSE,FALSE,"random_tau"
"201",3,1,10,FALSE,FALSE,"random_tau"
"202",3,2,228,FALSE,FALSE,"random_tau"
"203",3,3,337,FALSE,FALSE,"random_tau"
"204",3,4,428,FALSE,FALSE,"random_tau"
"205",3,5,505,FALSE,FALSE,"random_tau"
"206",3,6,588,FALSE,FALSE,"random_tau"
"207",3,7,675,FALSE,FALSE,"random_tau"
"208",3,8,759,FALSE,FALSE,"random_tau"
"209",3,9,861,FALSE,FALSE,"random_tau"
"210",3,10,969,FALSE,FALSE,"random_tau"
"211",3,11,1083,FALSE,FALSE,"random_tau"
"212",3,12,1205,FALSE,FALSE,"random_tau"
"213",3,13,1344,FALSE,FALSE,"random_tau"
"214",3,14,1489,FALSE,FALSE,"random_tau"
"215",3,15,1642,FALSE,FALSE,"random_tau"
"216",3,16,1817,FALSE,FALSE,"random_tau"
"217",3,17,2033,FALSE,FALSE,"random_tau"
"218",3,18,2337,FALSE,FALSE,"random_tau"
"219",3,19,2733,FALSE,FALSE,"random_tau"
"220",3,20,3208,FALSE,FALSE,"random_tau"
"221",3,21,3779,FALSE,FALSE,"random_tau"
"222",3,22,4540,FALSE,FALSE,"random_tau"
"223",3,23,5461,FALSE,FALSE,"random_tau"
"224",3,24,6658,FALSE,FALSE,"random_tau"
