"","n_neighbors","n"
"1",4,1
"2",5,4
"3",6,36
"4",7,78
"5",8,187
"6",9,464
"7",10,1170
"8",11,2107
"9",12,2674
"10",13,1887
"11",14,963
"12",15,322
"13",16,87
"14",17,15
"15",18,4
"16",19,1
