"","n_neighbors","n"
"1",4,3
"2",5,3
"3",6,27
"4",7,84
"5",8,195
"6",9,466
"7",10,1140
"8",11,2116
"9",12,2689
"10",13,1935
"11",14,907
"12",15,318
"13",16,91
"14",17,19
"15",18,6
"16",19,1
